created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2026-01-20T04:08:17Z,1391,hub,1768882025,"Moist,+007.49,+006.23,+006.08,+004.67,+005.52,+004.33,+004.24,+005.89","Temp,+013.21,+013.07,+013.08,+013.27,+013.23,+013.23,+013.27,+013.43","Batt,5.06",,,
2026-01-20T04:09:12Z,1392,9f48: @w1r,1768882079,"Moist,+007.02,+011.07,+009.12,+004.04,+002.62,+002.96,+003.88,+005.09","Temp,+013.84,+013.77,+013.59,+013.60,+013.17,+013.19,+013.17,+013.37","Batt,4.02",,,
2026-01-20T05:08:24Z,1393,hub,1768885631,"Moist,+007.59,+006.32,+006.19,+004.79,+005.61,+004.37,+004.34,+005.95","Temp,+013.90,+013.79,+013.79,+013.92,+013.96,+013.93,+013.96,+014.14","Batt,5.06",,,
2026-01-20T05:09:19Z,1394,9f48: @w1r,1768885685,"Moist,+007.00,+011.07,+009.14,+004.06,+002.60,+003.09,+004.39,+005.26","Temp,+014.19,+014.24,+014.13,+014.14,+013.75,+013.77,+013.87,+014.00","Batt,4.03",,,
2026-01-20T06:08:30Z,1395,hub,1768889237,"Moist,+007.57,+006.35,+006.23,+004.81,+005.69,+004.46,+004.33,+006.04","Temp,+013.44,+013.31,+013.31,+013.45,+013.46,+013.43,+013.44,+013.55","Batt,5.06",,,
2026-01-20T06:09:24Z,1396,9f48: @w1r,1768889291,"Moist,+006.93,+010.93,+009.15,+004.04,+002.62,+002.96,+003.80,+005.02","Temp,+013.51,+013.54,+013.52,+013.58,+013.17,+013.24,+013.29,+013.41","Batt,4.00",,,
2026-01-20T07:08:36Z,1397,hub,1768892843,"Moist,+007.54,+006.31,+006.12,+004.76,+005.56,+004.35,+004.28,+005.93","Temp,+014.02,+013.87,+013.88,+013.98,+014.02,+013.95,+013.91,+014.06","Batt,5.06",,,
2026-01-20T07:09:31Z,1398,9f48: @w1r,1768892896,"Moist,+007.06,+011.10,+009.15,+004.06,+002.60,+003.01,+003.81,+005.12","Temp,+014.19,+014.24,+014.13,+014.14,+013.73,+013.76,+013.86,+014.00","Batt,4.03",,,
2026-01-20T08:08:43Z,1399,hub,1768896448,"Moist,+007.58,+006.29,+006.16,+004.79,+005.63,+004.37,+004.29,+005.93","Temp,+014.26,+014.13,+014.15,+014.26,+014.29,+014.26,+014.27,+014.38","Batt,5.06",,,
2026-01-20T08:09:37Z,1400,9f48: @w1r,1768896502,"Moist,+007.05,+011.18,+009.14,+004.06,+002.61,+002.99,+003.81,+005.08","Temp,+014.35,+014.44,+014.37,+014.39,+013.99,+014.10,+014.11,+014.31","Batt,3.99",,,
2026-01-20T09:08:48Z,1401,hub,1768900054,"Moist,+007.56,+006.36,+006.18,+004.77,+005.61,+004.39,+004.32,+005.95","Temp,+014.01,+013.90,+013.91,+014.03,+014.04,+014.02,+014.03,+014.14","Batt,5.06",,,
2026-01-20T09:09:43Z,1402,9f48: @w1r,1768900108,"Moist,+007.01,+011.11,+009.19,+004.08,+002.61,+003.00,+003.83,+005.07","Temp,+014.16,+014.23,+014.14,+014.25,+013.76,+013.88,+013.89,+014.09","Batt,3.99",,,
2026-01-20T10:08:54Z,1403,hub,1768903660,"Moist,+007.55,+006.33,+006.21,+004.82,+005.63,+004.35,+004.32,+005.95","Temp,+013.84,+013.78,+013.79,+013.88,+013.92,+013.90,+013.91,+014.02","Batt,5.05",,,
2026-01-20T10:09:49Z,1404,9f48: @w1r,1768903714,"Moist,+007.00,+011.07,+009.14,+004.06,+002.62,+003.00,+003.81,+005.04","Temp,+014.03,+014.10,+014.01,+014.12,+013.64,+013.76,+013.77,+013.92","Batt,3.96",,,
2026-01-20T11:09:01Z,1405,hub,1768907265,"Moist,+007.58,+006.33,+006.22,+004.78,+005.64,+004.42,+004.25,+005.95","Temp,+013.07,+012.96,+012.96,+013.14,+013.19,+013.18,+013.20,+013.31","Batt,5.06",,,
2026-01-20T11:09:56Z,1406,9f48: @w1r,1768907320,"Moist,+006.91,+011.04,+009.17,+004.06,+002.60,+002.94,+003.75,+005.05","Temp,+013.24,+013.30,+013.30,+013.33,+012.93,+012.97,+013.05,+013.17","Batt,3.97",,,
2026-01-20T12:09:07Z,1407,hub,1768910871,"Moist,+007.56,+006.33,+006.24,+004.81,+005.62,+004.30,+004.31,+005.94","Temp,+012.26,+012.24,+012.25,+012.38,+012.43,+012.41,+012.43,+012.59","Batt,5.05",,,
2026-01-20T12:10:02Z,1408,9f48: @w1r,1768910925,"Moist,+006.91,+011.00,+009.15,+004.11,+002.58,+002.99,+003.76,+005.03","Temp,+012.53,+012.59,+012.58,+012.60,+012.21,+012.23,+012.33,+012.45","Batt,3.96",,,
2026-01-20T13:09:13Z,1409,hub,1768914477,"Moist,+007.58,+006.32,+006.22,+004.86,+005.69,+004.30,+004.34,+005.97","Temp,+011.87,+011.77,+011.78,+011.87,+011.96,+011.94,+011.95,+012.11","Batt,5.05",,,
2026-01-20T13:10:08Z,1410,9f48: @w1r,1768914531,"Moist,+006.92,+011.02,+009.14,+004.06,+002.58,+002.98,+003.81,+005.06","Temp,+012.05,+012.11,+012.05,+012.13,+011.71,+011.75,+011.84,+011.96","Batt,3.91",,,
2026-01-20T14:09:19Z,1411,hub,1768918083,"Moist,+007.49,+006.21,+006.06,+004.70,+005.48,+004.20,+004.19,+005.83","Temp,+012.48,+012.36,+012.37,+012.46,+012.51,+012.48,+012.49,+012.60","Batt,5.06",,,
2026-01-20T14:10:15Z,1412,9f48: @w1r,1768918137,"Moist,+007.16,+011.16,+009.12,+004.03,+002.59,+002.99,+003.91,+005.16","Temp,+012.65,+012.71,+012.64,+012.67,+012.22,+012.34,+012.37,+012.58","Batt,3.91",,,
